segment_id,expected_pose,expected_subpose,expected_distance_m,start_time_s,end_time_s,duration_s,confidence,frames_expected,frames_with_track,frames_with_pose,tracking_presence_rate,pose_presence_rate,ui_visible_rate,disappearance_rate,longest_disappearance_s,num_disappearance_events,range_mae_m,range_bias_m,range_jitter_m,tid_switch_count,extra_track_rate,dominant_tid,dominant_display_pose,posture_accuracy,display_standing_rate,display_sitting_rate,display_moving_rate,display_unknown_rate,mean_stand_prob,mean_sit_prob,mean_move_prob_if_available,mean_lie_prob_if_available,mean_fall_prob_if_available,mean_sit_minus_stand_margin,sitting_relative_gate_trigger_rate,sitting_relative_gate_blocked_range_rate,sitting_relative_gate_blocked_standing_veto_rate,sitting_relative_gate_passed_rate,moving_override_rate,moving_override_blocked_body_still_rate,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,mean_geom_pts,geom_pts_ge_1_rate,geom_pts_ge_3_rate,rgb_frames_count,rgb_track_presence_rate,rgb_video_present
upright_1m,SITTING,SITTING_UPRIGHT,1.0,789.929,855.717,65.788,0.95,1316,1195,1195,0.9080547112462006,0.9080547112462006,0.9019756838905775,0.09802431610942253,0.35,1,0.08068585868357314,0.08068585868357314,0.036563630225595056,0,0.0,10,STANDING,0.100418410041841,0.8161094224924013,0.0911854103343465,0.0007598784194528875,0.0,0.3640836554123517,0.5734819636933475,,0.04170658603840537,0.020727796599007777,0.2093983082809957,0.0,0.9080547112462006,0.4065349544072948,0.0,0.0,0.0,0.5820668693009119,0.26975683890577506,0.05015197568389058,1.292050209205021,0.32598784194528874,0.21504559270516718,14050,,True
upright_2m,SITTING,SITTING_UPRIGHT,2.0,865.764,930.163,64.399,0.95,1288,1171,1171,0.9091614906832298,0.9091614906832298,0.9091614906832298,0.09083850931677018,0.0,0,0.13280734483352258,0.13280734483352258,0.014196968763893295,0,0.0,10,SITTING,1.0,0.0,0.9091614906832298,0.0,0.0,0.4055136794440709,0.5082801256446529,,0.06296765841352792,0.023238546821232237,0.10276644620058198,0.0,0.9091614906832298,0.1669254658385093,0.0,0.0,0.0,0.8322981366459627,0.06987577639751552,0.006987577639751553,0.21605465414175917,0.07686335403726709,0.037267080745341616,14050,,True
upright_3m,SITTING,SITTING_UPRIGHT,3.0,940.195,1004.283,64.088,0.95,1282,1165,1165,0.9087363494539782,0.9087363494539782,0.8829953198127926,0.11700468018720744,0.35,6,0.09070851679157615,0.09070851679157615,0.029524412629883423,0,0.0,10,STANDING,0.1648068669527897,0.7589703588143526,0.1497659906396256,0.0,0.0,0.5131946471291934,0.4135106240730941,,0.046983290958526006,0.02631144391876429,-0.09968402305609934,0.11934477379095164,0.0,0.6770670826833073,0.0405616224648986,0.0,0.0,0.7706708268330733,0.12558502340093602,0.0109204368174727,0.39570815450643776,0.13806552262090482,0.059282371294851796,14050,,True
upright_4m,SITTING,SITTING_UPRIGHT,4.0,1016.474,1042.685,26.211,0.477,524,477,477,0.9103053435114504,0.9103053435114504,0.9083969465648855,0.09160305343511455,0.0,0,0.09107876309755862,0.09107876309755862,0.004262950594649878,0,0.0,10,STANDING,0.0,0.9103053435114504,0.0,0.0,0.0,0.5775127937115213,0.3509346862134194,,0.04632351384254113,0.0252290188180638,-0.22657810749810198,0.019083969465648856,0.0,0.8759541984732825,0.0,0.0,0.0,0.8835877862595419,0.022900763358778626,0.0019083969465648854,0.10482180293501048,0.026717557251908396,0.009541984732824428,14050,,True
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1155.993,1205.993,50.0,0.25,1000,909,896,0.909,0.896,0.852,0.14800000000000002,0.7,9,4.054559144453158,-4.054559144453158,0.32195439189475467,0,0.0,11,SITTING,0.48184818481848185,0.383,0.438,0.075,0.013,0.31140336319805473,0.5708680645991998,,0.06381181017951615,0.04621600033411998,0.2594647014011451,0.0,0.909,0.113,0.0,0.05,0.0,0.635,0.152,0.096,2.25962596259626,0.274,0.179,14050,,True
leanforward_1m,SITTING,SITTING_LEAN_FORWARD,1.0,1207.996,1234.17,26.174,0.476,523,475,475,0.9082217973231358,0.9082217973231358,0.8986615678776291,0.10133843212237093,0.3,1,0.22580102318887132,-0.2172906803437787,0.06960014382795468,0,0.0,11,SITTING,0.9705263157894737,0.0,0.8814531548757171,0.02676864244741874,0.0,0.3519583615856735,0.5518630065416035,,0.0685353036852259,0.02764333840067445,0.19990464495592997,0.0,0.9082217973231358,0.0,0.0,0.017208413001912046,0.0,0.739961759082218,0.11089866156787763,0.05736137667304015,0.9726315789473684,0.1682600382409178,0.07265774378585087,14050,,True
leanforward_2m,SITTING,SITTING_LEAN_FORWARD,2.0,1240.2,1278.767,38.567,0.701,771,702,702,0.9105058365758755,0.9105058365758755,0.9014267185473411,0.09857328145265887,0.35,1,0.2397421144320899,-0.23657647555907688,0.05380668294006784,0,0.0,11,STANDING,0.41737891737891736,0.5304798962386511,0.38002594033722437,0.0,0.0,0.43564751277614033,0.4807917612825024,,0.05772476694931372,0.025835999850173062,0.04514424850636207,0.0,0.9105058365758755,0.5408560311284046,0.0,0.0,0.0,0.8313878080415046,0.04928664072632944,0.029831387808041506,0.44017094017094016,0.07911802853437094,0.05058365758754864,14050,,True
leanforward_3m,SITTING,SITTING_LEAN_FORWARD,3.0,1318.334,1364.52,46.186,0.84,924,839,839,0.908008658008658,0.908008658008658,0.9025974025974026,0.09740259740259738,0.3,1,0.2780442958796797,-0.2780442958796797,0.03390718134615519,0,0.0,12,STANDING,0.03098927294398093,0.8798701298701299,0.02813852813852814,0.0,0.0,0.5484493054292487,0.3773674200132436,,0.048755421858232006,0.025427900743143442,-0.1710818854160052,0.0,0.908008658008658,0.814935064935065,0.0,0.0,0.0,0.8668831168831169,0.032467532467532464,0.008658008658008658,0.133492252681764,0.04112554112554113,0.01948051948051948,14050,,True
leanforward_4m,SITTING,SITTING_LEAN_FORWARD,4.0,1403.47,1432.177,28.707,0.522,574,523,516,0.9111498257839721,0.8989547038327527,0.8815331010452961,0.11846689895470386,0.55,2,0.23386565276451107,-0.23386565276451107,0.022660949969526358,0,0.0,13,SITTING,0.9655831739961759,0.0,0.8797909407665505,0.01916376306620209,0.012195121951219513,0.4502740722242208,0.4495530689195738,,0.06471799754218883,0.022070563250500854,-0.0007210033046469861,0.005226480836236934,0.012195121951219513,0.012195121951219513,0.0,0.006968641114982578,0.0,0.8850174216027874,0.008710801393728223,0.005226480836236934,0.1089866156787763,0.02613240418118467,0.02264808362369338,14050,,True
leanforward_5m,SITTING,SITTING_LEAN_FORWARD,5.0,1480.633,1504.587,23.954,0.436,479,436,436,0.9102296450939458,0.9102296450939458,0.8517745302713987,0.1482254697286013,1.55,1,0.1697976542455865,-0.1697976542455865,0.008705768917864181,0,0.0,14,STANDING,0.0,0.8517745302713987,0.0,0.05845511482254697,0.0,0.6651835737903731,0.2683051508090912,,0.041279457522334,0.025231831091874775,-0.3968784229812819,0.012526096033402923,0.0,0.8768267223382046,0.0,0.0,0.0,0.8956158663883089,0.014613778705636743,0.0,0.05963302752293578,0.014613778705636743,0.014613778705636743,14050,,True
