session_id,segment_id,person_slot,assigned_tid,event_type,severity,start_time_s,end_time_s,detail
sitting_relative_gate_refined_live_test,upright_1m,center,10,LOW_POINTS,LOW,789.929,855.717,LOW_POINTS_rate=0.938
sitting_relative_gate_refined_live_test,upright_1m,center,10,RENDER_NOT_CONFIRMED,LOW,789.929,855.717,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,upright_2m,center,10,NO_POINTS,MEDIUM,865.764,930.163,NO_POINTS_rate=0.915
sitting_relative_gate_refined_live_test,upright_2m,center,10,LOW_POINTS,LOW,865.764,930.163,LOW_POINTS_rate=0.992
sitting_relative_gate_refined_live_test,upright_2m,center,10,RENDER_NOT_CONFIRMED,LOW,865.764,930.163,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,upright_3m,center,10,NO_POINTS,MEDIUM,940.195,1004.283,NO_POINTS_rate=0.848
sitting_relative_gate_refined_live_test,upright_3m,center,10,LOW_POINTS,LOW,940.195,1004.283,LOW_POINTS_rate=0.986
sitting_relative_gate_refined_live_test,upright_3m,center,10,RENDER_NOT_CONFIRMED,LOW,940.195,1004.283,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,upright_4m,center,10,NO_POINTS,MEDIUM,1016.474,1042.685,NO_POINTS_rate=0.971
sitting_relative_gate_refined_live_test,upright_4m,center,10,LOW_POINTS,LOW,1016.474,1042.685,LOW_POINTS_rate=0.996
sitting_relative_gate_refined_live_test,upright_4m,center,10,RENDER_NOT_CONFIRMED,LOW,1016.474,1042.685,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,upright_5m,center,11,NO_POINTS,MEDIUM,1155.993,1205.993,NO_POINTS_rate=0.699
sitting_relative_gate_refined_live_test,upright_5m,center,11,LOW_POINTS,LOW,1155.993,1205.993,LOW_POINTS_rate=0.866
sitting_relative_gate_refined_live_test,upright_5m,center,11,RENDER_NOT_CONFIRMED,LOW,1155.993,1205.993,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanforward_1m,center,11,NO_POINTS,MEDIUM,1207.996,1234.170,NO_POINTS_rate=0.817
