expected_distance_m_num,expected_subpose_norm,expected_position_norm,windows,segments,person_instances,old_display_posture_accuracy,raw_probability_posture_accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing,false_sitting_on_standing_3m,false_standing_on_sitting,upright_sitting_accuracy,lean_back_sitting_accuracy,lean_forward_sitting_accuracy,disappearance_rate,ui_visible_rate,NO_POINTS_rate,LOW_POINTS_rate,geom_pts_mean,range_error_mean,people_count_mean
3.0,SITTING_UPRIGHT,RIGHT,222,1,1,0.1981981981981982,0.26126126126126126,0.0,0.1981981981981982,0.0,0.0,0.7612612612612613,0.1981981981981982,0.0,0.0,0.009876396505130487,1.0,0.7888899820314207,0.9651209433926362,0.6834059650773036,0.8888260161586855,2.0
3.0,STANDING,CENTER,847,2,4,0.9445100354191264,0.9185360094451004,0.9445100354191264,0.0,0.05194805194805195,0.05194805194805195,0.0,0.0,0.0,0.0,0.013977729301161831,1.0,0.7847155907983052,0.981079424965386,0.6608973553287016,0.08909628614118618,1.0
3.0,STANDING,LEFT,470,2,2,0.9553191489361702,0.9531914893617022,0.9553191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007121027384185266,0.9878565316998227,0.5639109088972405,0.9358968032121976,1.3288288580105654,0.24282368617270297,1.5319148936170213
3.0,STANDING,RIGHT,470,2,2,0.8893617021276595,0.8659574468085106,0.8893617021276595,0.0,0.0574468085106383,0.0574468085106383,0.0,0.0,0.0,0.0,0.006730560675129533,0.9874420557175316,0.7215284783460464,0.9585203150824652,0.9747261184068706,0.19346821305689874,1.5319148936170213
4.0,SITTING_LEAN_BACK,CENTER,999,2,6,0.12212212212212212,0.2122122122122122,0.0,0.12212212212212212,0.0,0.0,0.7217217217217218,0.0,0.12212212212212212,0.0,0.016297496418881882,0.8803029982059243,0.8011079097035523,0.949680213115806,0.9405949303979247,0.22230490876698997,1.0
4.0,SITTING_LEAN_BACK,LEFT,391,2,2,0.4475703324808184,0.649616368286445,0.0,0.4475703324808184,0.0,0.0,0.29923273657289,0.0,0.4475703324808184,0.0,0.016587355475496533,0.9808439870586161,0.9082302317728621,0.9680368330133718,0.5228104779493519,0.3056039285640869,1.639386189258312
4.0,SITTING_LEAN_BACK,RIGHT,143,1,1,0.006993006993006993,0.16083916083916083,0.0,0.006993006993006993,0.0,0.0,0.7762237762237763,0.0,0.006993006993006993,0.0,0.03493908278597273,0.9408435118961436,0.7845663508342934,0.9408315338937348,0.7839933115052732,0.2965740581215151,1.0
4.0,SITTING_LEAN_FORWARD,CENTER,347,1,2,0.5821325648414986,0.4783861671469741,0.0,0.5821325648414986,0.0,0.0,0.3976945244956772,0.0,0.0,0.5821325648414986,0.008404931747871219,0.9979672887453868,0.829657769436367,0.9473446337084207,0.6258560235165556,1.3048300544960296,1.0
4.0,SITTING_LEAN_FORWARD,LEFT,202,1,1,0.5247524752475248,0.3465346534653465,0.0,0.5247524752475248,0.0,0.0,0.46534653465346537,0.0,0.0,0.5247524752475248,0.022135741312395808,0.9828921651634547,0.8407934780205358,0.9850946206534442,0.430178113361289,0.2663129342639077,2.0
4.0,SITTING_UPRIGHT,CENTER,338,1,2,0.10650887573964497,0.1863905325443787,0.0,0.10650887573964497,0.0,0.0,0.8727810650887574,0.10650887573964497,0.0,0.0,0.00831659070525466,1.0,0.9010589164465088,0.9744831695951011,0.34335478735633534,0.35772613121230373,1.0
4.0,SITTING_UPRIGHT,LEFT,222,1,1,0.0,0.06306306306306306,0.0,0.0,0.0,0.0,0.9324324324324325,0.0,0.0,0.0,0.009124147424289655,0.9544738409282519,0.8509969645899693,0.9890782987392756,0.3906455608970043,0.6093341199484336,2.0
4.0,STANDING,CENTER,702,2,4,0.99002849002849,1.0,0.99002849002849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01397286462138762,1.0,0.8920315846645462,0.9949829274104014,0.27032478366259566,0.12746482955446936,1.0
4.0,STANDING,LEFT,330,2,2,0.9575757575757575,0.996969696969697,0.9575757575757575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015511358828743186,0.9835446385924855,0.7519449747660649,0.9856328581223035,0.6405626331838922,0.11925886693188288,1.3333333333333333
4.0,STANDING,RIGHT,469,2,2,0.9744136460554371,0.9957356076759062,0.9744136460554371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02484281525286198,0.9922718849270302,0.8693172387756497,0.9888778236497843,0.3452511220194766,0.17248462912930224,1.533049040511727
5.0,SITTING_LEAN_BACK,CENTER,433,2,3,0.020785219399538105,0.03926096997690531,0.0,0.020785219399538105,0.0,0.0,0.6812933025404158,0.0,0.020785219399538105,0.0,0.028067789480891232,0.9584567049213075,0.9242699133814982,0.9893336537452602,0.2385181315915637,0.34800212627106814,1.0
5.0,SITTING_LEAN_BACK,LEFT,111,2,2,0.04504504504504504,0.15315315315315314,0.0,0.04504504504504504,0.0,0.0,0.7207207207207207,0.0,0.04504504504504504,0.0,0.05971648401710041,0.8961279627456176,0.743509581439988,0.9081608388519197,1.2195695338252759,0.1908919180837592,1.2252252252252251
5.0,SITTING_LEAN_BACK,RIGHT,424,2,2,0.1391509433962264,0.06132075471698113,0.0,0.1391509433962264,0.0,0.0,0.7452830188679245,0.0,0.1391509433962264,0.0,0.01799544501878165,0.9185117504968621,0.9397951730967768,0.9965978712262702,0.15519740807171767,0.5200394999945711,1.455188679245283
5.0,SITTING_LEAN_FORWARD,CENTER,328,1,2,0.04878048780487805,0.17073170731707318,0.0,0.04878048780487805,0.0,0.0,0.9085365853658537,0.0,0.0,0.04878048780487805,0.008065703701133726,1.0,0.9039245440320538,0.9792802700296283,0.3093761532505114,1.3483905081720091,1.0
5.0,SITTING_LEAN_FORWARD,LEFT,222,1,1,0.02252252252252252,0.15765765765765766,0.0,0.02252252252252252,0.0,0.0,0.8918918918918919,0.0,0.0,0.02252252252252252,0.008831510289547257,0.9636312063173135,0.8284222739384645,0.9772937907619803,0.48288660719545295,0.5225552631801827,2.0
5.0,SITTING_UPRIGHT,CENTER,426,1,2,0.20657276995305165,0.392018779342723,0.0,0.20657276995305165,0.0,0.0,0.7323943661971831,0.20657276995305165,0.0,0.0,0.008576263373801143,0.9832136857526035,0.8262776084103549,0.9394442190621902,1.0656187618183282,2.148738093238861,1.0
5.0,SITTING_UPRIGHT,LEFT,28,1,1,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24558463111094692,0.7587713394956517,0.1676820793581412,0.20846092521436768,17.683116393392073,3.512705176222419,2.0
5.0,SITTING_UPRIGHT,RIGHT,146,1,1,0.3835616438356164,0.5753424657534246,0.0,0.3835616438356164,0.0,0.0,0.4589041095890411,0.3835616438356164,0.0,0.0,0.03769966630456895,0.9255415210714418,0.6971290080665359,0.8743173624063398,1.7044596011572162,1.9763000490356184,2.0
5.0,STANDING,CENTER,494,2,3,0.9878542510121457,1.0,0.9878542510121457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017611126129131655,0.990693674976916,0.9156229037692347,0.9948888685527109,0.260630668869218,0.10390610548245906,1.0
5.0,STANDING,LEFT,286,2,2,0.7517482517482518,0.9055944055944056,0.7517482517482518,0.0,0.024475524475524476,0.0,0.0,0.0,0.0,0.0,0.016192074565280292,0.9427834536760556,0.5839774556844639,0.7627471023404038,6.672723251947759,0.7920164458858119,1.2307692307692308
5.0,STANDING,RIGHT,470,2,2,0.825531914893617,0.9127659574468086,0.825531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009421852991281867,0.8965934133052726,0.7505193502923007,0.8586521186649357,2.4734415523112947,0.6734526787070135,1.5319148936170213
