window_id,session_id,segment_id,person_slot,assigned_tid,window_size_s,window_start_s,window_end_s,expected_pose,expected_subpose,expected_distance_m,expected_position,people_count,old_display_pred,raw_prob_pred,stand_prob_mean,sit_prob_mean,sit_minus_stand_mean,range_m_mean,range_error_m,geom_pts_mean,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,ui_visible_rate,disappearance_rate,tracking_presence_rate,pose_presence_rate,pose_switch_count,tid_switch_count,visibility_reliability_label
sitting_relative_gate_refined_live_test::standing_1m::center::1s::7,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,29.006,30.006,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4067390263080597,0.54863088930908,0.1418918630010203,0.987514564348069,0.012485435651931054,2.5789473684210527,0.1578947368421052,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::19,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,35.006,36.006,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4611418890325646,0.4848671712373432,0.0237252822047785,0.9772809695586778,0.022719030441322174,5.684210526315789,0.1578947368421052,0.6842105263157895,0.2631578947368421,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::20,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,35.506,36.506,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.3193770547707875,0.6324010938405991,0.3130240390698115,0.9758024276752216,0.02419757232477837,2.7222222222222223,0.3333333333333333,0.8333333333333334,0.1666666666666666,1.0,0.0,1.0,1.0,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::27,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,39.006,40.006,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4398118530710538,0.5084937181737688,0.0686818651027149,0.9642157558322924,0.035784244167707646,3.7777777777777777,0.0555555555555555,0.8888888888888888,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::28,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,39.506,40.506,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.293085366487503,0.6662940366400613,0.3732086701525582,0.9546093643019766,0.045390635698023374,2.7777777777777777,0.3333333333333333,0.9444444444444444,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::29,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,40.006,41.006,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4331066914294895,0.5220627141626257,0.0889560227331362,0.953914731365305,0.046085268634694976,1.736842105263158,0.3684210526315789,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::31,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,41.006,42.006,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4740249796046151,0.475114322370953,0.0010893427663379,0.953541270167206,0.04645872983279398,2.2222222222222223,0.2777777777777778,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::35,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,43.006,44.006,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4483180940151214,0.503555049498876,0.0552369554837544,0.972151434299609,0.02784856570039096,3.4444444444444446,0.0555555555555555,0.9444444444444444,0.0555555555555555,1.0,0.0,1.0,1.0,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::36,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,43.506,44.506,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.2605337003866831,0.6948861297633913,0.4343524293767081,0.9491337472158146,0.05086625278418544,4.111111111111111,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,1.0,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::37,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,44.006,45.006,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.1612208344870143,0.8030442727936639,0.6418234383066496,0.9480236816141592,0.051976318385840825,4.0,0.0,0.6111111111111112,0.3888888888888889,1.0,0.0,1.0,1.0,0,0,DEGRADED
