window_id,session_id,segment_id,person_slot,assigned_tid,window_size_s,window_start_s,window_end_s,expected_pose,expected_subpose,expected_distance_m,expected_position,people_count,old_display_pred,raw_prob_pred,stand_prob_mean,sit_prob_mean,sit_minus_stand_mean,range_m_mean,range_error_m,geom_pts_mean,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,ui_visible_rate,disappearance_rate,tracking_presence_rate,pose_presence_rate,pose_switch_count,tid_switch_count,visibility_reliability_label
session_20260703_205540::leanback_1m::center::1s::41,session_20260703_205540,leanback_1m,center,3,1.0,249.125,250.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4685146883130072,0.4342997387051581,-0.0342149496078491,1.1588615022479622,0.15886150224796225,0.05,0.95,1.0,0.0,1.0,0.0,1.1111111111111112,1.1111111111111112,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::42,session_20260703_205540,leanback_1m,center,3,1.0,249.625,250.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.454625583746854,0.4499383375925176,-0.0046872461543363,1.1578171537774151,0.15781715377741512,0.0588235294117647,0.9411764705882352,1.0,0.0,1.0,0.0555555555555555,0.9444444444444444,0.9444444444444444,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::43,session_20260703_205540,leanback_1m,center,3,1.0,250.125,251.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4401771560311317,0.4654575809836387,0.025280424952507,1.1562504348604536,0.15625043486045365,0.1,0.9,1.0,0.0,1.0,0.0,1.1111111111111112,1.1111111111111112,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::44,session_20260703_205540,leanback_1m,center,3,1.0,250.625,251.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4479810312390327,0.455419872701168,0.0074388414621353,1.1558061010154117,0.1558061010154117,0.05,0.95,1.0,0.0,1.0,0.0,1.1111111111111112,1.1111111111111112,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::45,session_20260703_205540,leanback_1m,center,3,1.0,251.125,252.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4313219249248504,0.4686053037643433,0.0372833788394928,1.1559827707968406,0.15598277079684064,0.1,0.9,1.0,0.0,1.0,0.0,1.1111111111111112,1.1111111111111112,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::46,session_20260703_205540,leanback_1m,center,3,1.0,251.625,252.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4099871665239334,0.4866577469640308,0.0766705804400974,1.1559740885337535,0.1559740885337535,0.1111111111111111,0.8888888888888888,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::47,session_20260703_205540,leanback_1m,center,3,1.0,252.125,253.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.430682897567749,0.4662590026855469,0.0355761051177978,1.1558152951579446,0.15581529515794457,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::48,session_20260703_205540,leanback_1m,center,3,1.0,252.625,253.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4346117734909057,0.4708308428525924,0.0362190693616866,1.1549580488363285,0.15495804883632847,0.2,0.9,1.0,0.0,1.0,0.0,1.0526315789473684,1.0526315789473684,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::49,session_20260703_205540,leanback_1m,center,3,1.0,253.125,254.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.401866614818573,0.5092743760661075,0.1074077612475345,1.153047143821783,0.15304714382178308,0.631578947368421,0.7368421052631579,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::50,session_20260703_205540,leanback_1m,center,3,1.0,253.625,254.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3255182206630707,0.5944057802359263,0.2688875595728556,1.1476338438126648,0.14763384381266476,0.4444444444444444,0.8333333333333334,1.0,0.0,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::51,session_20260703_205540,leanback_1m,center,3,1.0,254.125,255.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3448733954053176,0.5716184346299422,0.2267450392246246,1.1441321090243373,0.14413210902433726,0.0526315789473684,0.9473684210526316,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::52,session_20260703_205540,leanback_1m,center,3,1.0,254.625,255.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.355389262892698,0.558988818996831,0.203599556104133,1.1458562278264808,0.14585622782648078,2.210526315789474,0.5789473684210527,0.8947368421052632,0.1052631578947368,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::53,session_20260703_205540,leanback_1m,center,3,1.0,255.125,256.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.1918090975119007,0.744094216161304,0.5522851186494032,1.1563842182737951,0.15638421827379512,3.611111111111111,0.2777777777777778,0.7222222222222222,0.2777777777777778,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::54,session_20260703_205540,leanback_1m,center,3,1.0,255.625,256.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.0558827364196379,0.8930901322099898,0.8372073957903517,1.1493878111882971,0.14938781118829714,3.5,0.1666666666666666,0.7777777777777778,0.2222222222222222,1.0,0.0999999999999999,0.9,0.9,1,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::9,session_20260703_205540,leanback_1m,center,3,2.0,237.625,239.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,SITTING,STANDING,0.4702929040870151,0.4476441797372457,-0.0226487243497693,1.1703511694943152,0.17035116949431517,0.1891891891891892,0.8648648648648649,1.0,0.0,1.0,0.0,1.0277777777777777,1.0277777777777777,1,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::10,session_20260703_205540,leanback_1m,center,3,2.0,238.625,240.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4708691918187671,0.4510761408342255,-0.0197930509845415,1.170042273131061,0.1700422731310609,0.1944444444444444,0.8611111111111112,1.0,0.0,1.0,0.0,1.0588235294117647,1.0588235294117647,1,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::11,session_20260703_205540,leanback_1m,center,3,2.0,239.625,241.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4786476443211238,0.4426238826579518,-0.0360237616631719,1.1701555338078018,0.1701555338078018,0.0833333333333333,0.9444444444444444,1.0,0.0,1.0,0.0,1.0588235294117647,1.0588235294117647,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::12,session_20260703_205540,leanback_1m,center,3,2.0,240.625,242.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.5086693300141228,0.4109540780385335,-0.0977152519755893,1.1703782691259523,0.17037826912595233,0.0555555555555555,0.9444444444444444,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::13,session_20260703_205540,leanback_1m,center,3,2.0,241.625,243.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4914628510412417,0.4292083163010446,-0.062254534740197,1.1702235720960066,0.17022357209600658,0.1052631578947368,0.8947368421052632,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
